Long,Lat,Date,BirdID,Fix
-77.942,18.0437,2/14/17,128,404
-77.9427,18.0456,2/14/17,54,405
-77.9414,18.0462,2/14/17,153,406
-77.9438,18.0415,2/14/17,174,407
-77.9417,18.0408,2/14/17,194,408
-77.9407,18.0404,2/14/17,338,409
-77.9401,18.043,2/14/17,208,410
-77.9391,18.0428,2/14/17,146,411
-77.9432,18.0468,2/14/17,54,412
-77.94,18.0403,2/14/17,338,413
-77.9401,18.0434,2/14/17,208,414
-77.9393,18.0427,2/14/17,146,415
-77.9434,18.0469,2/14/17,54,416
-77.9402,18.0403,2/14/17,338,417
-77.9397,18.043,2/14/17,146,418
-77.9403,18.0441,2/14/17,208,419
-77.9433,18.0465,2/14/17,54,420
-77.9431,18.0446,2/14/17,153,421
-77.9394,18.0431,2/14/17,146,422
-77.9359,18.0376,2/15/17,169,423
-77.9319,18.041,2/15/17,89,424
-77.9356,18.0337,2/16/17,302,425
-77.9357,18.0387,2/16/17,169,426
-77.9326,18.0403,2/16/17,89,427
-77.9351,18.033,2/16/17,302,428
-77.9359,18.0381,2/16/17,169,429
-77.9398,18.0441,2/16/17,146,430
-77.9379,18.0426,2/16/17,208,431
-77.9397,18.0439,2/16/17,146,432
-77.9431,18.0465,2/16/17,54,433
-77.9439,18.0397,2/16/17,174,434
-77.9384,18.0407,2/16/17,338,435
-77.9433,18.0468,2/16/17,54,436
-77.9429,18.0445,2/17/17,153,437
-77.9433,18.0467,2/17/17,54,438
-77.9398,18.0425,2/17/17,146,439
-77.9419,18.0408,2/17/17,208,440
-77.9418,18.0408,2/17/17,174,441
-77.9384,18.0382,2/17/17,338,442
-77.94,18.0425,2/17/17,146,443
-77.9433,18.0466,2/17/17,54,444
-77.9384,18.0382,2/17/17,338,445
-77.9432,18.0445,2/18/17,153,446
-77.9434,18.0464,2/18/17,54,447
-77.9401,18.0454,2/18/17,46,448
-77.9402,18.0422,2/18/17,146,449
-77.9387,18.0431,2/18/17,208,450
-77.9383,18.0407,2/18/17,338,451
-77.9427,18.0446,2/18/17,153,452
-77.9433,18.0464,2/18/17,54,453
-77.9414,18.0444,2/18/17,46,454
-77.9394,18.0429,2/18/17,146,455
-77.9384,18.0436,2/18/17,208,456
-77.9424,18.0445,2/15/17,153,457
-77.9433,18.0463,2/15/17,54,458
-77.9394,18.0426,2/15/17,146,459
-77.9413,18.0408,2/15/17,208,460
-77.942,18.0408,2/15/17,338,461
-77.9437,18.0409,2/18/17,174,462
-77.9425,18.0417,2/18/17,194,463
-77.9436,18.0412,2/18/17,128,464
-77.944,18.0408,2/18/17,174,465
-77.9436,18.0414,2/18/17,128,467
-77.944,18.0409,2/18/17,174,468
-77.9379,18.042,2/18/17,338,469
-77.9356,18.0363,2/21/17,302,470
-77.9353,18.0371,2/21/17,114,471
-77.9361,18.0368,2/21/17,169,472
-77.9325,18.0423,2/21/17,89,473
-77.9352,18.0334,2/21/17,302,474
-77.9353,18.0363,2/21/17,114,475
-77.9357,18.0376,2/21/17,169,476
-77.9329,18.042,2/21/17,89,477
-77.9352,18.0363,2/21/17,114,478
-77.9357,18.0377,2/21/17,169,479
-77.9352,18.033,2/21/17,302,480
-77.9427,18.045,2/22/17,128,481
-77.9425,18.045,2/22/17,153,482
-77.9428,18.0455,2/22/17,54,483
-77.9405,18.045,2/22/17,46,484
-77.9399,18.0441,2/22/17,146,485
-77.9403,18.0402,2/22/17,208,486
-77.9408,18.0404,2/22/17,194,487
-77.9417,18.0413,2/22/17,338,488
-77.9402,18.0451,2/22/17,146,489
-77.9385,18.043,2/21/17,338,490
-77.9398,18.0441,2/21/17,146,491
-77.9402,18.0415,2/21/17,208,492
-77.9401,18.0449,2/21/17,46,493
